Water Control Zone,Station,Dates,Sample No,Depth,Total Inorganic Nitrogen (mg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Chlorophyll-a (μg/L),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Southern,SM9,2009/1/14,1,Middle Water,0.19,1,0.002,5.3,0.03,0.4,0.29,16.5,5.6,0.99,2.9,33.2,0.6,8.1,0.02,0.023,0.082,73,52,5.8,72,2.1,0.084,0.5
Southern,SM9,2009/1/14,1,Bottom Water,0.19,1.3,0.002,8.1,0.03,0.39,0.29,16.8,8.7,0.97,2.9,33.1,<0.2,8.1,0.019,0.021,0.083,250,190,5.9,74,2,0.09,0.3
Southern,SM9,2009/2/16,1,Surface Water,0.31,1.4,0.003,3.2,0.03,0.52,0.29,19.8,4.5,0.51,2,31.4,0.9,8,0.014,0.029,0.2,280,160,6.1,81,2.1,0.077,0.4
Southern,SM9,2009/2/16,1,Middle Water,0.3,1.4,0.003,3.1,0.03,0.45,0.23,19.8,4.3,0.53,2,31.4,1,8,0.014,0.028,0.19,170,95,6.3,83,2,0.078,0.7
Southern,SM9,2009/2/16,1,Bottom Water,0.3,1.7,0.003,3.4,0.03,0.47,0.25,19.8,4.6,0.5,2,31.4,1.4,8,0.014,0.028,0.19,150,110,5.6,74,1.8,0.078,0.4
Southern,SM9,2009/3/18,1,Surface Water,0.19,2.2,0.004,10.6,0.04,0.38,0.28,21,5,0.78,0.9,32.9,0.6,8.1,0.014,0.014,0.088,<1,<1,7.1,96,4.7,0.088,1.1
Southern,SM9,2009/3/18,1,Middle Water,0.2,2.1,0.004,11.3,0.04,0.36,0.26,19.9,5.3,0.77,0.9,33,1.4,8.1,0.016,0.015,0.087,4,2,7.1,95,4.1,0.095,0.7
Southern,SM9,2009/3/18,1,Bottom Water,0.2,2.2,0.004,14,0.04,0.34,0.25,19.8,10,0.82,0.9,33.1,1,8.1,0.019,0.013,0.079,10,9,6.5,86,1.3,0.11,0.5
Southern,SM9,2009/4/23,1,Surface Water,0.27,1.5,0.005,3.9,0.04,0.4,0.26,22.6,5.4,0.46,2.1,32.8,1,8,0.019,0.015,0.12,42,18,5.5,76,4.5,0.13,0.8
Southern,SM9,2009/4/23,1,Middle Water,0.26,1.6,0.004,4.1,0.04,0.42,0.28,22.6,5.3,0.46,2.1,32.8,1.1,8,0.019,0.015,0.12,67,36,5.3,74,4.8,0.12,0.9
Southern,SM9,2009/4/23,1,Bottom Water,0.27,1.4,0.005,4,0.04,0.45,0.31,22.6,5.5,0.46,2.1,32.8,1.4,8,0.019,0.016,0.12,47,33,5.2,73,3.7,0.13,0.7
Southern,SM9,2009/5/22,1,Surface Water,0.48,2.4,0.002,2.7,0.03,0.61,0.18,26.4,4.1,1,2.3,28.3,3.6,8,0.005,0.036,0.39,320,130,5.7,84,6.1,0.053,1.7
Southern,SM9,2009/5/22,1,Middle Water,0.4,2.2,0.002,2.5,0.02,0.49,0.14,26.4,3.6,0.87,2.3,28.7,3,8,0.006,0.031,0.32,140,120,6.2,90,4,0.053,1.2
Southern,SM9,2009/5/22,1,Bottom Water,0.38,2,0.003,3.6,0.03,0.49,0.18,26,3.7,0.79,2.3,29.8,2.5,7.9,0.009,0.027,0.28,760,210,6.2,90,3.2,0.07,1.3
Southern,SM9,2009/6/19,1,Surface Water,0.58,2.1,0.002,3.5,0.02,0.74,0.19,28,5.1,1.4,2,24.6,3.1,8,0.007,0.099,0.45,380,190,5.5,80,7.6,0.034,1.5
Southern,SM9,2009/6/19,1,Middle Water,0.56,2.1,0.003,5.1,0.03,0.71,0.22,27.9,5,1.2,2,25.9,2.5,7.9,0.007,0.083,0.41,670,260,4.8,70,6,0.065,1.1
Southern,SM9,2009/6/19,1,Bottom Water,0.41,3.5,0.003,8.9,0.03,0.51,0.2,27.5,11,1.1,2,26.7,2.3,7.8,0.015,0.082,0.23,1700,700,5,73,2.7,0.093,0.8
Southern,SM9,2009/7/17,1,Surface Water,0.41,2.5,0.001,10.2,0.03,0.59,0.18,28.4,5.9,0.91,2.5,24.9,1.9,8.2,0.003,0.036,0.37,28,16,4.2,62,17,0.007,2
Southern,SM9,2009/7/17,1,Middle Water,0.38,4,0.007,11.8,0.04,0.57,0.26,28.3,15,0.82,2.5,26.2,5.6,8.3,0.008,0.029,0.28,800,490,7,103,19,0.068,1.5
Southern,SM9,2009/7/17,1,Bottom Water,0.37,5.1,0.005,21.2,0.05,0.59,0.29,27.2,27,0.83,2.5,27.6,5.7,8.1,0.007,0.028,0.27,650,410,4.4,65,19,0.073,1.4
Southern,SM9,2009/8/24,1,Surface Water,0.38,2.8,0.001,11.7,0.04,0.58,0.21,27.8,6.8,1,1.9,29.2,3.5,8.3,0.012,0.055,0.31,190,69,4.9,74,12,0.012,1.6
Southern,SM9,2009/8/24,1,Middle Water,0.41,2.3,0.004,12.7,0.05,0.53,0.15,27.4,7.9,1.2,1.9,29.3,3.1,8.3,0.018,0.055,0.32,770,300,4.1,61,8,0.038,1.6
Southern,SM9,2009/8/24,1,Bottom Water,0.45,3.5,0.006,16.7,0.05,0.54,0.16,26.7,17,1.5,1.9,29.8,3.5,8.2,0.026,0.051,0.33,1200,460,3.2,48,1.7,0.068,1.4
Southern,SM9,2009/9/11,1,Surface Water,0.37,2.1,0.008,5.7,0.05,0.51,0.32,28.7,6.7,0.95,1.5,29.7,2.5,7.9,0.028,0.028,0.16,2200,760,5.7,86,4.7,0.18,1
Southern,SM9,2009/9/11,1,Middle Water,0.35,2.2,0.008,4.5,0.04,0.47,0.3,28.9,5.6,0.91,1.5,30.1,1.4,7.9,0.028,0.027,0.14,2700,1700,5.2,81,5.2,0.18,1.1
Southern,SM9,2009/9/11,1,Bottom Water,0.35,2.1,0.009,6.8,0.05,0.48,0.34,28.9,7,1.1,1.5,30.2,0.8,7.9,0.029,0.026,0.11,1400,1000,5,77,3.9,0.21,0.9
Southern,SM9,2009/10/12,1,Surface Water,0.37,2,0.008,8.9,0.06,0.49,0.32,28.2,12,1.3,2,31.9,0.9,7.8,0.036,0.1,0.072,1100,730,5.2,80,1.5,0.2,0.2
Southern,SM9,2009/10/12,1,Middle Water,0.36,2,0.007,8.9,0.06,0.55,0.38,28.2,12,1.3,2,31.9,1.4,7.8,0.036,0.1,0.069,960,530,5.2,80,1.4,0.19,0.3
Southern,SM9,2009/10/12,1,Bottom Water,0.38,2.2,0.008,9.1,0.05,0.5,0.33,28.2,14,1.3,2,31.9,1.4,7.8,0.037,0.1,0.07,1200,730,5.2,80,1.5,0.21,0.3
Southern,SM9,2009/11/19,1,Surface Water,0.11,2,0.002,5.6,0.03,0.19,0.12,22.4,7,0.85,1.8,33.2,<0.2,8.2,0.015,0.03,0.043,1000,650,6.5,91,1.3,0.037,0.8
Southern,SM9,2009/11/19,1,Middle Water,0.11,2.1,0.002,5.9,0.03,0.24,0.17,22.4,8.5,0.84,1.8,33.2,0.6,8.2,0.015,0.03,0.041,1400,690,6.6,93,1.2,0.038,0.5
Southern,SM9,2009/11/19,1,Bottom Water,0.11,1.6,0.002,5.5,0.03,0.24,0.17,22.4,7.4,0.84,1.8,33.2,0.4,8.2,0.015,0.03,0.041,1300,700,6.6,93,1.3,0.035,0.6
Southern,SM9,2009/12/14,1,Surface Water,0.33,1.6,0.005,5,0.05,0.5,0.36,21.1,5.3,1.1,1.9,32.9,0.9,7.9,0.033,0.04,0.1,490,330,6.5,88,3.1,0.19,0.4
Southern,SM9,2009/12/14,1,Middle Water,0.34,1.6,0.005,3.9,0.05,0.46,0.31,21.1,5.6,1.1,1.9,33,1.1,7.9,0.033,0.04,0.11,310,220,6.5,89,2.5,0.19,0.5
Southern,SM9,2009/12/14,1,Bottom Water,0.33,1.6,0.005,4.4,0.05,0.46,0.31,21.1,5.6,1.1,1.9,33,1,7.9,0.034,0.041,0.11,450,290,6.6,90,2.1,0.18,0.4
Southern,SM9,2010/1/13,1,Surface Water,0.16,0.7,0.001,2.5,0.03,0.3,0.19,17.3,2.4,0.68,3.5,32.2,0.3,7.8,0.014,0.022,0.088,3,<1,7.9,100,2,0.053,0.8
Southern,SM9,2010/1/13,1,Middle Water,0.17,0.6,0.001,2.4,0.03,0.36,0.25,17.2,2.7,0.68,3.5,32.2,1.1,7.8,0.014,0.018,0.092,1,1,8,101,1.2,0.058,0.9
Southern,SM9,2010/1/13,1,Bottom Water,0.21,0.6,0.002,2.6,0.03,0.3,0.18,17.1,2.8,0.7,3.5,32.2,0.8,7.8,0.017,0.019,0.099,3,1,7.8,99,1.2,0.09,0.6
Southern,SM9,2010/2/3,1,Surface Water,0.47,1,0.003,3.4,0.05,0.59,0.31,18.5,4.2,1.3,2.6,31,0.3,7.8,0.04,0.052,0.23,8,6,7.3,93,1,0.19,0.2
Southern,SM9,2010/2/3,1,Middle Water,0.47,0.8,0.003,3.4,0.05,0.56,0.28,18.5,4.2,1.3,2.6,31,0.2,7.8,0.036,0.052,0.23,16,13,7.3,94,0.9,0.19,0.2
Southern,SM9,2010/2/3,1,Bottom Water,0.47,0.9,0.003,4.5,0.04,0.57,0.29,18.5,5.9,1.3,2.6,31,0.3,7.8,0.036,0.051,0.23,16,10,7.3,93,0.9,0.19,0.2
Southern,SM9,2010/3/19,1,Surface Water,0.22,1.1,0.003,7.5,0.03,0.37,0.28,20,3.5,0.51,2,32.9,1.3,7.8,0.018,0.011,0.074,2,1,6.4,86,1.7,0.13,1.3
Southern,SM9,2010/3/19,1,Middle Water,0.21,0.9,0.003,8.8,0.03,0.41,0.33,19.8,4.2,0.52,2,32.9,0.9,7.8,0.019,0.012,0.07,5,3,6.8,90,1.6,0.13,1.2
Southern,SM9,2010/3/19,1,Bottom Water,0.22,0.9,0.003,9.1,0.03,0.37,0.28,19.7,5.8,0.52,2,33,<0.2,7.8,0.015,0.012,0.073,5,2,6.8,91,1.5,0.13,0.9
Southern,SM9,2010/4/28,1,Surface Water,0.4,0.6,0.002,1.5,0.04,0.6,0.32,21.3,1.3,0.84,3,31.9,1,7.6,0.021,0.059,0.22,18,11,6.7,91,4.4,0.12,0.8
Southern,SM9,2010/4/28,1,Middle Water,0.39,0.6,0.002,1.9,0.04,0.55,0.28,21.3,1.9,0.84,3,32,0.6,7.6,0.021,0.058,0.21,32,15,6.9,95,3.7,0.12,0.6
Southern,SM9,2010/4/28,1,Bottom Water,0.39,0.7,0.002,1.9,0.04,0.48,0.21,21.3,1.7,0.82,3,32,0.9,7.6,0.021,0.057,0.21,32,16,7,95,3.2,0.12,0.7
Southern,SM9,2010/5/12,1,Surface Water,0.34,0.9,0.002,2.2,0.03,0.51,0.28,23.5,2.3,0.6,3.5,31.4,<0.2,7.7,0.013,0.032,0.2,100,71,6.4,90,1.5,0.11,0.7
Southern,SM9,2010/5/12,1,Middle Water,0.33,0.8,0.002,1.8,0.03,0.51,0.28,23.5,1.5,0.58,3.5,31.4,<0.2,7.7,0.014,0.032,0.2,140,68,6.4,90,1.8,0.1,0.7
Southern,SM9,2010/5/12,1,Bottom Water,0.34,0.8,0.002,2,0.04,0.54,0.31,23.4,2.2,0.62,3.5,31.4,<0.2,7.7,0.014,0.032,0.2,130,52,6.4,90,1.6,0.11,0.8
Southern,SM9,2010/6/24,1,Surface Water,0.76,1.5,0.002,6.5,0.04,0.91,0.21,27.2,8.2,3.5,1.6,22.5,1.2,7.7,0.022,0.091,0.61,210,76,4.4,63,2.9,0.059,1
Southern,SM9,2010/6/24,1,Middle Water,0.69,1.7,0.002,9,0.05,0.84,0.22,27.1,12,3.1,1.6,23.1,1.2,7.7,0.023,0.085,0.53,340,190,4.3,61,2.1,0.073,0.6
Southern,SM9,2010/6/24,1,Bottom Water,0.64,1.9,0.002,9.5,0.05,0.77,0.21,27.1,13,2.8,1.6,23.4,1.7,7.7,0.021,0.082,0.48,300,130,4.1,58,2.2,0.08,0.6
Southern,SM9,2010/7/9,1,Surface Water,0.63,2.1,0.001,6.1,<0.02,0.83,0.21,27.9,6.4,2.9,2,21.2,5,8.1,0.008,0.074,0.55,110,43,7.3,105,16,0.009,1.5
Southern,SM9,2010/7/9,1,Middle Water,0.5,2.4,0.002,6,<0.02,0.64,0.17,27.7,10,2.3,2,22.3,6.7,8.1,0.005,0.054,0.42,230,71,7.1,102,20,0.029,2.1
Southern,SM9,2010/7/9,1,Bottom Water,0.36,2,0.003,7,0.04,0.45,0.17,25.7,11,2.1,2,28.8,4.8,7.9,0.019,0.03,0.25,370,100,3.1,44,7.9,0.084,1
Southern,SM9,2010/8/6,1,Surface Water,0.35,1.1,0.003,3.4,0.03,0.49,0.18,27.5,2.7,1.1,2.7,28.8,1.6,8.2,<0.002,0.049,0.26,42,10,5.1,77,6.5,0.037,1.2
Southern,SM9,2010/8/6,1,Middle Water,0.33,1.1,0.002,3.8,0.03,0.64,0.34,26.7,3.1,1.3,2.7,29.4,2.4,8.2,<0.002,0.047,0.25,120,50,5,73,6.8,0.035,1.2
Southern,SM9,2010/8/6,1,Bottom Water,0.31,2.1,0.003,10.4,0.04,0.44,0.2,25.6,9.7,1.7,2.7,31.1,7.6,8,0.008,0.043,0.2,850,300,2.3,33,9,0.07,1.3
Southern,SM9,2010/9/15,1,Surface Water,0.5,1.6,0.001,2.4,0.04,0.71,0.23,28.1,4.3,1.9,1.8,27.1,6.6,8.1,0.005,0.13,0.35,12,6,6.8,102,28,0.018,1.7
Southern,SM9,2010/9/15,1,Middle Water,0.42,2,0.003,3.9,0.05,0.71,0.33,27.8,6.5,1.5,1.8,27.8,7.1,8.2,0.007,0.094,0.29,40,19,7.7,114,36,0.039,2
Southern,SM9,2010/9/15,1,Bottom Water,0.54,1.7,0.002,6.8,0.07,0.71,0.22,27.1,9.1,2.5,1.8,28.4,2.2,7.9,0.024,0.13,0.36,88,42,4,59,7.4,0.051,0.8
Southern,SM9,2010/10/20,1,Surface Water,0.29,1.2,0.01,6.7,0.04,0.4,0.26,27.2,9.4,1,2.2,30.7,2.5,8.1,0.024,0.039,0.1,70,22,5.5,82,6.2,0.15,0.4
Southern,SM9,2010/10/20,1,Middle Water,0.3,1.3,0.01,6.7,0.04,0.39,0.24,27.2,9.3,1,2.2,30.7,1.1,8.1,0.024,0.039,0.11,86,20,5.6,83,3.3,0.15,0.3
Southern,SM9,2010/10/20,1,Bottom Water,0.3,1.4,0.01,7.8,0.04,0.41,0.26,27.2,10,1.1,2.2,30.7,0.5,8.1,0.023,0.04,0.11,79,27,5.5,83,2.2,0.15,0.5
Southern,SM9,2010/11/10,1,Surface Water,0.26,1,0.003,5.3,0.04,0.48,0.3,23.7,7,1.1,1.3,32.1,0.2,7.9,0.025,0.086,0.095,25,15,5.8,82,1.5,0.08,0.8
Southern,SM9,2010/11/10,1,Middle Water,0.27,1,0.003,6.1,0.04,0.47,0.28,23.4,6.8,1.1,1.3,32.1,0.4,7.9,0.025,0.088,0.097,26,4,5.7,80,1.4,0.083,0.3
Southern,SM9,2010/11/10,1,Bottom Water,0.25,1.6,0.002,7.1,0.04,0.48,0.29,23.3,8.5,1.1,1.3,32.1,0.4,7.9,0.024,0.091,0.097,79,36,5.6,80,1.2,0.063,0.4
Southern,SM9,2010/12/13,1,Surface Water,0.34,0.8,0.007,3.3,0.05,0.48,0.35,21.1,4.7,0.69,2,32.1,0.6,8,0.028,0.016,0.11,48,24,6.1,83,1,0.21,0.3
Southern,SM9,2010/12/13,1,Middle Water,0.34,0.9,0.007,3.5,0.05,0.46,0.34,21.1,4.8,0.68,2,32.1,0.4,8,0.031,0.017,0.1,200,86,6,81,1,0.22,0.5
Southern,SM9,2010/12/13,1,Bottom Water,0.34,1,0.007,3.7,0.05,0.48,0.36,21,6.3,0.68,2,32.1,0.4,8,0.031,0.016,0.1,140,91,6,81,1.1,0.22,0.5
Southern,SM9,2011/1/7,1,Surface Water,0.23,1,0.002,3.9,0.04,0.28,0.15,17.4,6.3,0.99,2.3,33,<0.2,7.8,0.019,0.05,0.079,66,46,6.4,81,1.2,0.096,0.5
Southern,SM9,2011/1/7,1,Middle Water,0.22,1.3,0.002,4,0.04,0.29,0.16,17.4,7.5,0.97,2.3,33,<0.2,7.8,0.019,0.048,0.079,41,29,6.9,87,1.3,0.093,0.5
Southern,SM9,2011/1/7,1,Bottom Water,0.22,0.9,0.002,4.4,0.04,0.31,0.18,17.4,5.6,0.98,2.3,33.1,0.6,7.8,0.019,0.049,0.078,68,44,6.9,88,0.6,0.091,0.5
Southern,SM9,2011/2/11,1,Surface Water,0.2,1.2,0.001,3.4,0.04,0.36,0.23,16.8,4.8,0.05,1.8,32.2,2.7,7.9,0.008,0.011,0.12,3,1,8.5,107,6.4,0.069,1.4
Southern,SM9,2011/2/11,1,Middle Water,0.2,1.2,0.001,2.8,0.03,0.35,0.22,16.8,4.5,0.06,1.8,32.2,2.6,7.9,0.009,0.012,0.12,<1,<1,8.7,109,6.9,0.064,1.8
Southern,SM9,2011/2/11,1,Bottom Water,0.2,1.4,0.001,3.6,0.03,0.37,0.24,16.8,5.7,0.06,1.8,32.2,3.3,7.9,0.009,0.012,0.12,1,1,8.6,108,7,0.07,2
Southern,SM9,2011/3/2,1,Surface Water,0.5,1.6,0.003,2.3,0.06,0.85,0.52,17.4,3.3,0.72,2.6,30.8,2.7,7.8,0.014,0.023,0.31,1,<1,8.9,112,9.4,0.17,2
Southern,SM9,2011/3/2,1,Middle Water,0.48,1.3,0.003,2.7,0.05,0.63,0.33,16.7,3.9,1,2.6,31.3,0.6,7.8,0.023,0.018,0.28,5,5,7.6,95,8.7,0.18,1.1
Southern,SM9,2011/3/2,1,Bottom Water,0.48,1,0.003,2.8,0.05,0.61,0.32,16.7,5,1.2,2.6,31.3,1.2,7.8,0.027,0.018,0.27,3,1,7.5,94,5.5,0.19,0.8
Southern,SM9,2011/4/1,1,Surface Water,0.35,0.8,0.002,2,0.04,0.43,0.35,18.5,3,0.63,2.2,33.2,<0.2,7.5,0.021,0.009,0.07,2,1,6.6,86,2.4,0.27,0.7
Southern,SM9,2011/4/1,1,Middle Water,0.34,0.8,0.002,2.3,0.04,0.51,0.43,18.2,3.3,0.65,2.2,33.2,1.3,7.5,0.022,0.008,0.07,1,1,6.6,86,6.6,0.26,0.8
Southern,SM9,2011/4/1,1,Bottom Water,0.35,0.9,0.003,2.9,0.04,0.4,0.32,18.1,3.7,0.66,2.2,33.2,<0.2,7.5,0.022,0.009,0.07,1,1,6.5,84,1.7,0.27,0.7
Southern,SM9,2011/5/18,1,Surface Water,0.54,2,0.004,10.5,0.05,0.69,0.31,25.1,15,1,1.5,29.8,<0.2,7.7,0.02,0.052,0.33,83,35,5,71,1.4,0.16,0.6
Southern,SM9,2011/5/18,1,Middle Water,0.55,1.9,0.004,9.3,0.04,0.67,0.28,25.2,14,0.98,1.5,29.8,1,7.7,0.02,0.051,0.34,84,28,4.9,71,0.9,0.16,0.6
Southern,SM9,2011/5/18,1,Bottom Water,0.54,2.3,0.004,15,0.06,0.76,0.38,25.1,21,1,1.5,29.8,1.4,7.7,0.021,0.052,0.33,91,47,4.7,68,1,0.16,0.7
Southern,SM9,2011/6/10,1,Surface Water,0.55,0.9,0.006,2.6,0.05,0.65,0.22,29.2,2,1.7,2,28,0.8,7.9,0.017,0.04,0.39,1,<1,5.2,79,3.6,0.12,1.3
Southern,SM9,2011/6/10,1,Middle Water,0.55,0.8,0.006,3.4,0.05,0.67,0.26,28.2,3,1.6,2,28.6,0.6,7.9,0.019,0.039,0.37,23,9,4.9,73,3.4,0.14,0.8
Southern,SM9,2011/6/10,1,Bottom Water,0.5,1,0.006,7,0.06,0.63,0.29,27.7,4.9,1.7,2,29.4,0.6,7.9,0.025,0.034,0.31,38,13,4.2,64,1.8,0.16,0.8
Southern,SM9,2011/7/11,1,Surface Water,0.5,1.7,0.001,4.9,0.07,0.68,0.2,26.8,5.4,1.8,1.7,27,6.1,7.8,0.009,0.065,0.41,20,8,3.4,50,6.7,0.024,1.1
Southern,SM9,2011/7/11,1,Middle Water,0.48,1.6,0.001,4.4,0.05,0.62,0.19,25.8,8,1.8,1.7,28.5,2.7,7.8,0.016,0.059,0.37,63,34,3.3,48,6.6,0.046,1.5
Southern,SM9,2011/7/11,1,Bottom Water,0.47,1.8,0.001,5.5,0.05,0.67,0.24,25.8,8.2,1.8,1.7,28.7,3.3,7.7,0.016,0.06,0.37,98,46,2.9,42,5.6,0.043,0.6
Southern,SM9,2011/8/4,1,Surface Water,0.24,2.6,0.003,2.7,0.03,0.46,0.25,27.8,5.2,0.93,2.6,29.1,8.7,8.3,<0.002,0.043,0.17,<1,<1,9,134,29,0.031,2.8
Southern,SM9,2011/8/4,1,Middle Water,0.33,1.8,0.005,2.5,0.04,0.55,0.27,27.3,4.5,1.5,2.6,29.2,1.6,8.3,0.007,0.045,0.23,1,<1,7.9,118,22,0.053,2.2
Southern,SM9,2011/8/4,1,Bottom Water,0.32,1.9,0.003,2.9,0.04,0.53,0.25,26.8,4.8,1.4,2.6,29.5,3.8,8.1,0.008,0.046,0.23,7,2,5.7,84,20,0.048,1.4
Southern,SM9,2011/9/14,1,Surface Water,0.38,1.8,0.005,9,0.05,0.53,0.27,28.2,9.4,1.6,1.7,31.2,<0.2,7.9,0.031,0.063,0.2,4,3,5.2,80,1.4,0.12,0.4
Southern,SM9,2011/9/14,1,Middle Water,0.4,1.7,0.005,7,0.05,0.57,0.3,28.1,12,1.6,1.7,31.2,0.2,7.8,0.033,0.062,0.21,12,<1,5.1,78,2.3,0.13,0.4
Southern,SM9,2011/9/14,1,Bottom Water,0.4,1.8,0.005,10.4,0.06,0.53,0.26,28,14,1.6,1.7,31.2,2.8,7.8,0.032,0.062,0.21,13,3,4.9,75,2.5,0.13,0.3
Southern,SM9,2011/10/24,1,Surface Water,0.23,0.8,0.005,4.7,0.03,0.43,0.25,26.7,2.8,0.13,1.6,32.2,0.8,8.3,0.009,0.05,0.13,3,<1,8,120,4.7,0.053,1.8
Southern,SM9,2011/10/24,1,Middle Water,0.24,1.4,0.005,2.9,0.03,0.38,0.2,26.4,5.4,0.16,1.6,32.2,1,8.3,0.012,0.051,0.13,1,<1,7.5,112,5.7,0.058,1.4
Southern,SM9,2011/10/24,1,Bottom Water,0.42,1.6,0.005,3.9,0.03,0.55,0.19,26.2,6.9,0.16,1.6,32.2,1.1,8.2,0.011,0.051,0.31,9,2,7.2,107,5.7,0.061,1.4
Southern,SM9,2011/11/10,1,Surface Water,0.26,1.3,0.004,5,0.04,0.42,0.3,24.5,6.9,0.73,1,32.5,<0.2,7.8,0.027,0.028,0.092,33,20,6,86,0.6,0.14,0.7
Southern,SM9,2011/11/10,1,Middle Water,0.27,1.3,0.004,4.9,0.04,0.43,0.31,24.5,6.8,0.69,1,32.5,<0.2,7.8,0.027,0.029,0.091,33,14,6,86,0.8,0.15,0.6
Southern,SM9,2011/11/10,1,Bottom Water,0.22,1.2,0.003,4.9,0.04,0.4,0.29,24.6,7.3,0.67,1,32.6,<0.2,7.9,0.024,0.028,0.08,62,32,6.1,88,1.1,0.11,0.6
Southern,SM9,2011/12/9,1,Surface Water,0.2,0.8,0.001,3.8,0.03,0.32,0.14,20.8,4.1,1.2,2.3,32,<0.2,7.8,0.016,0.014,0.17,22,9,7.1,96,1.4,0.015,<0.1
Southern,SM9,2011/12/9,1,Middle Water,0.19,1,0.001,3.4,0.03,0.31,0.13,20.8,4.9,1.1,2.3,32,0.4,7.8,0.016,0.015,0.16,25,11,7.2,97,0.6,0.013,<0.1
Southern,SM9,2011/12/9,1,Bottom Water,0.19,0.7,0.001,3.9,0.03,0.3,0.12,20.8,3.9,1.2,2.3,32,0.5,7.8,0.016,0.015,0.16,40,15,7.1,96,0.6,0.014,<0.1
Southern,SM9,2012/1/12,1,Surface Water,0.36,1.3,0.002,3.6,0.05,0.53,0.28,17.2,5.6,0.45,2.3,31,0.7,7.9,0.021,0.013,0.24,12,7,8.2,102,13,0.11,<0.1
Southern,SM9,2012/1/12,1,Middle Water,0.36,1.4,0.002,3.4,0.05,0.61,0.36,17.2,5.9,0.46,2.3,31,0.8,7.9,0.02,0.013,0.24,16,12,8.3,104,11,0.11,<0.1
Southern,SM9,2012/1/12,1,Bottom Water,0.36,1.9,0.002,3.7,0.05,0.62,0.37,17.2,8.3,0.47,2.3,31,1.4,7.9,0.021,0.014,0.24,11,8,8.2,103,13,0.11,<0.1
Southern,SM9,2012/2/20,1,Surface Water,0.43,0.6,0.003,2,0.05,0.6,0.34,16.3,2.4,1.1,2.7,31.5,<0.2,7.9,0.035,0.016,0.24,2,1,7.3,91,2.1,0.17,1.2
Southern,SM9,2012/2/20,1,Middle Water,0.44,0.6,0.004,1.7,0.06,0.67,0.41,16.3,2.2,1.1,2.7,31.5,<0.2,7.9,0.036,0.016,0.24,7,2,7.4,91,1.9,0.18,1
Southern,SM9,2012/2/20,1,Bottom Water,0.44,0.5,0.004,1.7,0.07,0.64,0.38,16.3,2.6,1.1,2.7,31.5,0.5,7.9,0.036,0.018,0.24,9,3,7.4,91,1.4,0.18,1.1
Southern,SM9,2012/3/16,1,Surface Water,0.44,<0.5,0.002,1.1,0.05,0.58,0.3,17.8,1.6,1.1,2.3,31.3,0.6,7.6,0.032,0.022,0.26,<1,<1,7.4,93,0.4,0.16,0.3
Southern,SM9,2012/3/16,1,Middle Water,0.43,0.5,0.002,1.3,0.04,0.58,0.31,16.9,2,1,2.3,31.3,0.3,7.6,0.031,0.023,0.25,19,12,7.4,92,0.5,0.16,0.4
Southern,SM9,2012/3/16,1,Bottom Water,0.4,0.6,0.001,1.4,0.04,0.54,0.28,16.8,2.3,1,2.3,31.4,0.6,7.6,0.03,0.022,0.24,13,9,7.3,91,<0.2,0.14,0.3
Southern,SM9,2012/4/10,1,Surface Water,0.49,0.9,0.003,5,0.04,0.66,0.4,20.6,5.2,0.87,2,30.7,<0.2,7.5,0.027,0.025,0.23,11,2,8,107,1.4,0.23,<0.1
Southern,SM9,2012/4/10,1,Middle Water,0.47,1.1,0.003,5.1,0.04,0.68,0.43,20.6,5.5,0.84,2,30.7,<0.2,7.5,0.019,0.024,0.23,40,19,8,107,0.9,0.22,<0.1
Southern,SM9,2012/4/10,1,Bottom Water,0.47,1.1,0.003,5.2,0.04,0.66,0.42,20.6,7.9,0.78,2,30.7,0.2,7.5,0.027,0.023,0.22,20,11,8.1,108,0.5,0.23,<0.1
Southern,SM9,2012/5/11,1,Surface Water,0.86,1.7,0.001,1,0.02,1.07,0.25,26.1,2.3,0.57,2.9,25.6,2.6,7.8,0.003,0.09,0.73,10,1,9.9,141,15,0.041,1.4
Southern,SM9,2012/5/11,1,Middle Water,0.83,1.5,0.001,0.9,0.02,1.04,0.26,26.2,2.2,0.6,2.9,25.6,1.2,7.8,0.003,0.092,0.69,11,2,9.9,142,8,0.045,1.4
Southern,SM9,2012/5/11,1,Bottom Water,0.7,1.1,0.001,1,0.03,0.93,0.3,25.5,1.7,0.66,2.9,27.1,1,7.7,0.003,0.082,0.55,17,4,8.4,119,5.7,0.064,1.1
Southern,SM9,2012/6/22,1,Surface Water,0.41,1.9,0.003,8.8,0.03,0.6,0.32,28.2,13,1.3,2.3,28.4,1,7.6,0.021,0.04,0.24,150,130,6.2,93,0.7,0.13,0.1
